date,total_clones,unique_clones
2022-08-27,1,1
2022-08-28,0,0
2022-08-29,2,2
2022-08-30,0,0
2022-08-31,0,0
2022-09-01,0,0
2022-09-02,0,0
2022-09-03,0,0
2022-09-04,0,0
2022-09-05,0,0
2022-09-06,0,0
2022-09-07,0,0
2022-09-08,3,3
2022-09-09,1,1
2022-09-10,1,1
2022-09-11,1,1
2022-09-12,1,1
2022-09-13,1,1
2022-09-14,1,1
2022-09-15,2,2
2022-09-16,1,1
2022-09-17,1,1
2022-09-18,1,1
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,1,1
2022-09-22,1,1
2022-09-23,1,1
2022-09-24,1,1
2022-09-25,1,1
2022-09-26,1,1
2022-09-27,1,1
2022-09-28,1,1
2022-09-29,1,1
2022-09-30,1,1
2022-10-01,1,1
2022-10-02,1,1
2022-10-03,1,1
2022-10-04,1,1
2022-10-05,1,1
2022-10-06,2,2
2022-10-07,2,2
2022-10-08,4,3
2022-10-09,4,3
2022-10-10,4,3
2022-10-11,4,3
2022-10-12,2,2
2022-10-13,4,3
2022-10-14,4,3
2022-10-15,5,4
2022-10-16,4,3
2022-10-17,4,3
2022-10-18,5,4
2022-10-19,0,0
